Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,CPU_Brand,Touchscreen,IPS,X_res,Y_res,PPI,SSD,HDD,Log_Price
0.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128 SSD,Intel Iris Plus Graphics 640,macOS,1.37,71378,Intel,0,1,2560,1600,226.98300468106115,128,0,11.175744977598654
1.0,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128 Flash Storage,Intel HD Graphics 6000,macOS,1.34,47895,Intel,0,0,1440,900,127.67794013309688,0,0,10.776766393816992
2.0,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,No OS,1.86,30636,Intel,0,0,1920,1080,141.21199808219862,256,0,10.329931067029484
3.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512 SSD,AMD Radeon Pro 455,macOS,1.83,135195,Intel,0,1,2880,1800,220.53462386625827,512,0,11.81447345965862
4.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256 SSD,Intel Iris Plus Graphics 650,macOS,1.37,96095,Intel,0,1,2560,1600,226.98300468106115,256,0,11.473092564468505
5.0,Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500 HDD,AMD Radeon R5,Windows 10,2.1,21312,AMD,0,0,1366,768,100.45466986113651,0,500,9.967025573340116
6.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256 Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,114017,Intel,0,1,2880,1800,220.53462386625827,0,0,11.64410283906595
7.0,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256 Flash Storage,Intel HD Graphics 6000,macOS,1.34,61735,Intel,0,0,1440,900,127.67794013309688,0,0,11.030606310001843
8.0,Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512 SSD,Nvidia GeForce MX150,Windows 10,1.3,79653,Intel,0,0,1920,1080,157.3505121487356,512,0,11.285434979412322
9.0,Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.6,41025,Intel,0,1,1920,1080,157.3505121487356,256,0,10.621936915958292
10.0,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500 HDD,Intel HD Graphics 620,No OS,1.86,20986,Intel,0,0,1366,768,100.45466986113651,0,500,9.951610827717856
11.0,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500 HDD,Intel HD Graphics 520,No OS,1.86,18381,Intel,0,0,1920,1080,141.21199808219862,0,500,9.819072801393764
12.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256 SSD,AMD Radeon Pro 555,macOS,1.83,130001,Intel,0,1,2880,1800,220.53462386625827,256,0,11.775297421715827
13.0,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256 SSD,AMD Radeon R5 M430,Windows 10,2.2,26581,Intel,0,0,1920,1080,141.21199808219862,256,0,10.187951953831922
14.0,Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256 SSD,Intel HD Graphics 615,macOS,0.92,67260,Intel,0,1,2304,1440,226.41554716935852,256,0,11.11632098529426
15.0,Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256 SSD,Intel Iris Plus Graphics 640,macOS,1.37,80908,Intel,0,1,2560,1600,226.98300468106115,256,0,11.301067985672987
16.0,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 SSD,AMD Radeon R5 M430,Windows 10,2.2,39693,Intel,0,0,1920,1080,141.21199808219862,256,0,10.58893012871052
17.0,Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512 SSD,AMD Radeon Pro 560,macOS,1.83,152274,Intel,0,1,2880,1800,220.53462386625827,512,0,11.933436808616959
18.0,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1000 HDD,Nvidia GeForce 940MX,No OS,2.2,26586,Intel,0,0,1920,1080,141.21199808219862,0,1000,10.188140040427545
19.0,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 SSD,Intel UHD Graphics 620,Windows 10,1.22,52161,Intel,1,1,1920,1080,165.6321180513006,128,0,10.862090368195899
21.0,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 SSD    1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,53226,Intel,0,1,1920,1080,141.21199808219862,128,1000,10.882302277748641
22.0,HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500 HDD,AMD Radeon R2,No OS,1.86,13746,AMD,0,0,1366,768,100.45466986113651,0,500,9.52850315168155
23.0,Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.62,43636,Intel,1,0,1920,1080,165.6321180513006,256,0,10.683637776717648
24.0,HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.91,35111,Intel,0,0,1920,1080,141.21199808219862,256,0,10.466269750670861
25.0,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1000 HDD,Intel HD Graphics 520,Windows 10,2.3,22305,Intel,0,0,1366,768,100.45466986113651,0,1000,10.012566147562366
26.0,Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128 Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,58554,Intel,0,0,1440,900,127.67794013309688,0,0,10.977704684369517
27.0,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,AMD Radeon 530,Windows 10,2.2,42624,Intel,0,0,1920,1080,141.21199808219862,256,0,10.660172753900062
28.0,Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256 SSD    256 SSD,Intel UHD Graphics 620,Windows 10,1.88,69157,Intel,0,0,1920,1080,141.21199808219862,256,0,11.144134561181431
29.0,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1000 HDD,Nvidia GeForce 930MX,Windows 10,2.5,47738,Intel,0,0,1920,1080,127.33567457123111,0,1000,10.77348300542498
30.0,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64 Flash Storage,Intel HD Graphics,Windows 10,1.89,13053,Intel,0,0,1920,1080,141.21199808219862,0,0,9.47677327138879
31.0,Asus,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32 Flash Storage,AMD Radeon R2,Windows 10,1.65,10602,AMD,0,0,1366,768,111.93520355955211,0,0,9.268797941547751
